created_at,anomaly_score,ph,TDS,water_level,DHT_temp,water_temp
2028-10-17 00:00:00,0.5882387159433878,5.55,1229.37,1.0,24.1,19.59
2028-10-18 00:00:00,0.6280383410787024,5.57,1230.53,1.0,24.1,21.45
2028-10-19 00:00:00,0.6609838763783938,5.53,1232.34,1.0,24.1,18.14
2028-10-20 00:00:00,0.6139618209479316,5.54,1233.62,1.0,24.1,19.25
2028-10-21 00:00:00,0.6392303576035331,5.58,1234.81,1.0,24.1,23.9
2028-10-22 00:00:00,0.7267017165243443,5.51,1236.32,1.0,24.2,24.25
2028-10-22 02:00:00,0.5496445674189018,5.5,1236.48,1.0,24.2,20.88
2028-10-23 00:00:00,0.8046290136318779,5.58,1237.09,1.0,24.2,22.66
2028-10-24 00:00:00,0.5546952009862889,5.61,1238.91,1.0,24.1,21.47
2028-10-27 00:00:00,0.591548585240335,5.54,1244.05,1.0,24.1,18.1
2028-10-28 00:00:00,0.6036511412291814,5.56,1245.76,1.0,24.1,18.79
2028-10-29 00:00:00,0.5986721509302533,5.56,1246.43,1.0,24.1,18.29
2028-10-30 00:00:00,0.7553730198218386,5.54,1249.08,1.0,24.1,24.35
2028-10-31 00:00:00,0.5493054088217877,5.51,1250.48,1.0,24.1,22.02
2028-11-01 00:00:00,0.7314168256909974,5.62,1251.36,1.0,24.0,22.86
2028-11-01 01:00:00,0.6043287866082748,5.61,1252.07,1.0,24.1,18.86
2028-11-01 02:00:00,0.5551839525329157,5.64,1251.84,1.0,24.0,20.41
2028-11-02 00:00:00,0.6333036472923994,5.51,1253.6,1.0,24.0,24.62
2028-11-03 00:00:00,0.6254115715633307,5.63,1254.37,1.0,24.0,20.98
2028-11-04 00:00:00,0.640443592600702,5.63,1255.67,1.0,24.0,24.35
2028-11-05 00:00:00,0.6071874962697098,5.51,1258.01,1.0,24.0,22.84
2028-11-06 00:00:00,0.7432435092194245,5.62,1258.78,1.0,24.0,23.58
2028-11-07 00:00:00,0.6192637547336953,5.51,1261.12,1.0,24.0,23.11
2028-11-09 00:00:00,0.5620548485600794,5.54,1263.3,1.0,24.0,22.43
2028-11-10 00:00:00,0.5612412289089315,5.57,1265.63,1.0,24.0,21.24
2028-11-11 00:00:00,0.7836950107694249,5.52,1266.21,1.0,24.0,21.47
2028-11-12 00:00:00,0.622079096461198,5.59,1267.3,1.0,23.9,24.46
2028-11-13 00:00:00,0.7830533534852232,5.56,1268.9,1.0,23.9,20.89
2028-11-13 01:00:00,0.5913460417835251,5.61,1268.67,1.0,23.9,18.28
